rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
205.59,637,632,273.15086101,75511,118,0.001,28.26049592314648,75346,-61.56400604248047,,
,,,,76000,,0.001,24.322866609781094,75712,-62.079875572054995,283.19076558947563,188.9
203.87,643,636,264.69100968,76234,118,0.001,25.92885385361393,76051,-62.244061351527826,,
200.34,645,640,257.67087668,76710,118,0.001,24.857414027391854,76519,-62.40260825722905,,
,,,,77000,,0.001,26.12820121890209,76870,-62.3752522703077,261.95582711696625,127.9
194.91,649,644,243.16469079,77134,118,0.001,23.46319576672145,76926,-61.881659507751465,,
192.3,651,648,231.25581332000002,77566,119,0.001,28.12468618613023,77356,-62.074291522686295,,
188.49,652,652,223.06129548,77656,118,0.001,24.83094683147612,77559,-61.529425048828124,,
188.1,653,656,223.26770602,77874,119,0.001,31.16277801990509,77647,-62.220901807149254,,
,,,,78000,,0.001,25.072490988977698,77798,-61.87640516381515,264.1958810836077,152.8
189.54,657,660,228.73999175999998,78300,119,0.001,25.280180470696813,78118,-61.97460642727938,,
190.7,659,664,230.10237152999997,78739,119,0.001,26.24708035954258,78550,-61.82769795467979,,
,,,,79000,,0.001,29.746920779743025,78890,-61.23776265194542,322.2906804084778,138.1
194.01,663,668,239.73241879999998,79209,119,0.001,28.9302559687679,79023,-62.086268742879234,,
197.05,665,672,248.23562729999998,79643,119,0.001,24.882613206313827,79466,-61.88540423118462,,
,,,,80000,,0.001,27.55851307430783,79897,-62.23686079545455,242.6353870153427,112.8
199.47,669,676,256.0653669,80084,119,,,,,,
202.77,671,680,265.070162,80540,119,0.001,25.24747351237706,80349,-61.372167110443115,,
,,,,81000,,0.001,26.993030965820818,80822,-61.66771078891441,316.6987309575081,137.2
205.6,675,684,274.25206572999997,81026,119,,,,,,
208.1,677,688,282.55037651000004,81485,120,0.001,25.102524206178998,81282,-61.7716142134233,,
211.3,680,692,291.87353052,81940,120,0.001,25.001852151389436,81754,-61.514853159586586,,
,,,,82000,,0.001,25.659250372106378,81864,-61.79071960449219,240.4660627245903,108.5
214.64,683,696,301.05163906999996,82391,120,0.001,25.614483664521075,82207,-60.896145480019705,,
217.33,686,700,309.14012167,82806,120,0.001,28.82624761581421,82630,-60.17911483764649,,
,,,,83000,,0.001,33.67579695121529,82827,-60.69883243242899,219.39952045679092,98.5
220.12,689,704,317.19963284999994,83215,120,0.001,24.30088374489232,83041,-60.73353978207237,,
222.74,691,708,325.23476450000004,83619,120,0.001,23.17130808396773,83441,-60.92883869093291,,
,,,,84000,,0.001,27.60728874206543,83852,-60.37505952367243,230.34274485111237,102.0
225.12,694,712,333.2809981000001,84032,120,,,,,,
189.14,696,716,300.2380411,84434,121,0.001,24.551375870565767,84257,-59.77204124600279,,
153.02,699,720,266.64632846,84822,121,0.001,26.65155792236328,84650,-59.9575006134656,,
,,,,85000,,0.001,24.901084607961227,84844,-59.742585240578165,203.63228462934495,92.8
116.86,702,724,231.69654368,85206,121,0.001,24.949133122220953,85032,-59.625785178326545,,
106.7,704,728,223.38753069000003,85628,121,0.001,25.70384174234727,85455,-60.04503609152401,,
,,,,86000,,0.001,21.768425923641598,85757,-59.1516399743422,538.4611642837524,403.2
108.37,711,732,227.12548681999996,86348,121,0.001,22.711331255020028,86164,-58.87765598297119,,
105.71,714,736,226.18050257000002,86805,121,0.001,24.583173056780282,86599,-58.883798243635795,,
,,,,87000,,0.001,26.060917446755955,86846,-59.286679090079616,270.3876121163368,112.7
105.67,717,740,226.99388924999997,87277,121,0.001,23.913813153538136,87064,-58.72617083462802,,
106.84,720,744,232.12450163999998,87818,121,0.001,22.094100067580957,87601,-57.97512430384539,,
,,,,88000,,0.001,23.091544885483998,87868,-58.44734706575908,257.91126735806466,108.9
107.89,724,748,237.14227234999996,88355,121,0.001,23.68082721566045,88160,-58.022950859956964,,
111.54,727,752,247.67668630999998,88810,122,0.001,24.94559646071049,88616,-57.65627322280616,,
,,,,89000,,0.001,27.756777191162108,88839,-57.7624695117657,280.74207537174226,116.8
113.99,730,756,255.67112884,89273,122,0.001,22.16061616151229,89072,-57.446185013343545,,
115.39,733,760,261.39272741,89839,122,0.001,25.61563940251127,89620,-57.383811950683594,,
,,,,90000,,0.001,23.610768680331073,89921,-57.00070538098299,328.1613189220428,127.7
