time/fps,time/time_elapsed,train/n_updates,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/learning_rate,eval/mean_reward,eval/mean_ep_length
,,89573,-144.68742208862304,,29.817435342788695,90000,,,0.001,1015.0242031872273,1000.0
,,90573,-144.096185546875,,27.613212178707123,91000,,,0.001,1018.5427257061004,1000.0
,,91573,-143.98749659729003,,26.63721137714386,92000,,,0.001,1024.9235136270522,1000.0
,,92573,-143.48602157592774,,24.976814682483674,93000,,,0.001,1030.141545379162,1000.0
126,740,,,396.84,,93600,564,550.19937627,,,
,,93573,-143.33615197753906,,28.351188899993897,94000,,,0.001,1032.5595997154712,1000.0
,,94573,-142.72927206420897,,27.810037471771242,95000,,,0.001,1038.320312511921,1000.0
,,95573,-142.72400122070312,,22.670557782173155,96000,,,0.001,1036.430044424534,1000.0
,,96573,-142.05325442504883,,24.961171622276307,97000,,,0.001,1037.9650776326657,1000.0
124,783,,,429.24,,97600,568,576.4817356399999,,,
,,97836,-142.25466664632162,,21.927148290169544,98000,,,0.001,313.50739295482634,123.6
124,790,97981,-142.36553213331433,427.33,27.23826576430222,98139,572,575.14780498,0.001,,
124,792,98477,-141.6900082212506,424.81,39.652214686075844,98661,576,572.25877372,0.001,,
,,98774,-141.25931418282644,,17.32081835610526,99000,,,0.001,508.03443652391434,354.4
,,99001,-141.79558016346618,,23.337761927281182,100000,,,0.001,895.7047296106815,807.2
123,807,100001,-141.73553646850587,432.13,29.012930292129518,100146,580,578.21020453,0.001,,
,,100472,-142.6611792522928,,30.917314745213865,101000,,,0.001,1039.549524408579,1000.0
124,817,,,438.31,,101499,584,581.8744163099999,,,
,,101826,-142.97628195389458,,25.01159523354202,102000,,,0.001,359.40064779520037,152.7
123,825,101973,-141.65373794346638,437.67,17.129844032988256,102117,588,581.2967266600001,0.001,,
,,102090,-141.1338210025076,,18.62736463546753,103000,,,0.001,1061.3811882257462,1000.0
,,103399,-144.70517636651863,,20.523249342016978,104000,,,0.001,926.8558777570724,848.4
123,844,,,453.36,,104426,592,594.91834744,,,
,,104729,-154.8944723195043,,28.125144450961265,105000,,,0.001,716.8487371861935,607.1
,,105113,-157.69668515523276,,27.809327465792496,106000,,,0.001,1030.0246573746203,1000.0
123,862,,,460.62,,106140,596,599.63753474,,,
,,106113,-158.43703628540038,,30.272233077526092,107000,,,0.001,1031.8207696199418,1000.0
,,107113,-157.6627035217285,,30.311476231336595,108000,,,0.001,1021.9246638655662,1000.0
,,108113,-157.45584838867188,,30.754839451789856,109000,,,0.001,993.4702464818954,1000.0
,,109113,-156.56757647705078,,26.580574540138244,110000,,,0.001,1008.4107104122638,1000.0
121,906,,,491.8,,110140,600,624.6650761900001,,,
,,110113,-156.26985107421876,,26.90435899782181,111000,,,0.001,1002.2655842125416,1000.0
,,111113,-155.24869686889647,,25.094160720825194,112000,,,0.001,1007.2881892621517,1000.0
,,112113,-154.84330377197264,,31.024388673305513,113000,,,0.001,1042.2538822770118,1000.0
,,113113,-154.27371560668945,,25.224623554706575,114000,,,0.001,1037.237284219265,1000.0
119,952,,,522.93,,114140,604,649.1972873999999,,,
,,114113,-153.70756988525392,,27.253133182764053,115000,,,0.001,1021.7212883710861,1000.0
