train/learning_rate,time/fps,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/critic_loss,eval/mean_ep_length,eval/mean_reward
0.001,,83000,,-121.56139266185271,82887,,,,22.35508633874784,171.4,458.33258522748946
0.001,23,83359,142.99,-122.38969215514167,83193,383.24995666,3582,808,21.805107506494675,,
0.001,23,83980,143.02,-122.077379544576,83806,384.30885194,3586,812,23.24273919562499,,
0.001,,84000,,-122.17125336111408,83953,,,,28.024096644654566,144.0,401.45620437860487
0.001,23,84566,142.84,-122.27597126207854,84393,385.01747067,3591,816,23.30799785314822,,
0.001,,85000,,-122.94431271272548,84954,,,,21.987261634402806,134.2,371.9865455091
,23,85115,142.19,,,384.36042696000004,3595,820,,,
0.001,23,85661,141.69,-123.20836122952974,85493,383.75656186,3598,824,32.99056203856723,,
0.001,,86000,,-123.96494680551382,85897,,,,25.728759667345585,153.6,407.61585342288015
0.001,23,86220,141.56,-123.18342402074244,86050,383.82454386999996,3602,828,28.323496779585195,,
0.001,24,86780,141.42,-123.22961038782977,86618,383.70201935000006,3605,832,22.498447051946666,,
0.001,,87000,,-123.95037583743824,86889,,,,31.988085122669446,149.4,411.090061378479
0.001,24,87342,141.19,-123.28225888146295,87183,383.62735504999995,3610,836,29.79091063861189,,
0.001,24,87944,141.08,-123.59836642842897,87732,384.5974460599999,3613,840,21.70442370461746,,
0.001,,88000,,-123.85058203987454,87917,,,,24.867472795538,146.0,421.5125174462795
0.001,24,88527,141.07,-123.39113947170884,88320,385.84292740999996,3618,844,31.482191238188207,,
0.001,,89000,,-124.21910611320945,88965,,,,20.324999469168045,136.3,375.72399509549143
,24,89129,141.11,,,387.0575394699999,3622,848,,,
0.001,24,89642,140.65,-123.5432615007673,89476,385.26137135000005,3625,852,22.814433272793995,,
0.001,,90000,,-124.50911483764648,89895,,,,37.81700293561246,140.7,381.063844871521
0.001,24,90202,140.83,-123.75226290085736,90030,385.45704831999996,3629,856,27.929934996145743,,
0.001,24,90786,141.2,-124.30177923751204,90612,385.91166164000003,3633,860,15.953032940831678,,
0.001,,91000,,-123.81144283128822,90897,,,,40.109072968579724,135.6,367.30830656290055
0.001,25,91335,141.23,-124.42196611676897,91173,385.56949521,3637,864,30.260373609406606,,
0.001,25,91890,141.19,-124.3631845393651,91725,385.2010404199999,3640,868,36.988445268550386,,
0.001,,92000,,-124.66323775139408,91863,,,,27.56784235221752,123.2,316.06013733744624
0.001,25,92247,139.17,-124.1195310934996,92139,377.7405652,3644,872,23.414916436883466,,
0.001,25,92615,137.33,-124.55013065338134,92461,370.69269714000006,3646,876,35.78715373262947,,
0.001,25,92963,135.17,-125.05228063409979,92854,362.6842897199999,3648,880,32.38678430417262,,
0.001,,93000,,-124.79760593321265,92936,,,,16.96284790736873,110.5,283.0626943707466
0.001,25,93347,133.4,-123.85519389617137,93241,356.32600289000004,3651,884,29.21388209783114,,
0.001,25,93661,131.15,-124.2893575032552,93555,348.13830314,3653,888,36.23097024386442,,
0.001,,94000,,-124.27183113098144,93879,,,,31.159484633692987,115.4,279.5735768318176
,25,94034,129.39,,,341.2452457000001,3655,892,,,
0.001,25,94471,128.23,-124.70239574153248,94364,336.94014212,3658,896,26.864568442833132,,
0.001,25,94804,126.08,-125.0476209640503,94697,328.56366410999993,3660,900,28.056507640414768,,
0.001,,95000,,-124.49048719219132,94878,,,,26.842356474092693,84.5,171.1052058339119
0.001,25,95245,124.88,-124.34624770193389,95137,324.07621696999996,3663,904,23.452307975653447,,
0.001,26,95680,123.21,-124.27602445162259,95573,318.65844186,3666,908,29.785904675263623,,
0.001,,96000,,-124.42387244280647,95949,,,,25.711000073565184,132.2,360.3715058803558
,26,96107,121.27,,,312.46998726999993,3669,912,,,
0.001,26,96690,121.24,-124.03923104026101,96485,312.32320326,3672,916,39.268336632034995,,
0.001,,97000,,-125.43924553714581,96942,,,,32.5135546519344,133.8,365.7470112144947
0.001,26,97235,121.2,-124.56876971905048,97072,311.98963455999996,3676,920,33.378422040205734,,
0.001,26,97889,122.28,-124.87779090977922,97675,315.61439787,3680,924,30.785163477531768,,
0.001,,98000,,-125.12173664823491,97862,,,,33.21386556319374,153.3,424.1254061818123
0.001,26,98588,123.68,-125.16102303897634,98382,321.26911712000003,3685,928,31.468504513011258,,
0.001,,99000,,-125.30881742997603,98891,,,,33.30100341276689,140.0,343.34133912324904
0.001,26,99177,123.97,-126.00144823135868,99014,321.24158152,3690,932,29.6480613568934,,
0.001,27,99812,124.7,-125.27340449282998,99654,323.81353250999996,3693,936,33.700020194684384,,
0.001,,100000,,-125.88184016091483,99896,,,,33.55498792029716,149.8,423.7660799980164
0.001,27,100411,124.67,-126.37196627530184,100211,323.45319445999996,3698,940,36.32841793592874,,
0.001,,101000,,-126.82944173177083,100842,,,,35.11712927466271,150.0,407.8919951975346
,27,101029,125.02,,,324.03058746,3702,944,,,
0.001,27,101754,126.25,-127.37880866310813,101524,327.6945981,3706,948,38.81214778423309,,
0.001,,102000,,-126.88615685004693,101880,,,,33.593784740547726,148.8,415.66768726706505
0.001,27,102359,127.17,-128.39390193091498,102167,331.19724995,3711,952,32.45241158912922,,
0.001,27,102929,127.27,-128.32637525285995,102760,332.04847561,3715,956,32.18391629431745,,
0.001,,103000,,-127.13416064625055,102902,,,,34.754885220191845,142.1,404.4038136780262
0.001,27,103474,126.88,-127.84985665099262,103308,331.14889216000006,3719,960,34.47435778913827,,
0.001,,104000,,-127.9341767905415,103873,,,,40.684013394143086,135.7,374.6583926618099
,27,104039,127.04,,,332.07196445,3724,964,,,
0.001,28,104591,127.01,-128.0690967725671,104422,332.36300068000014,3727,968,26.978607059395227,,
0.001,,105000,,-129.07567496921706,104839,,,,39.45607776918273,135.4,369.3480062365532
0.001,28,105137,128.9,-129.2707420349121,104978,339.34379819000003,3732,972,22.144496790796733,,
0.001,28,105674,130.59,-129.0467856912052,105521,345.74303385,3735,976,33.28504755567102,,
0.001,,106000,,-129.57546294362922,105939,,,,37.75131364897186,142.6,390.5753398776054
